rating,text,text_en,lang
3.9,Water Leakage was observed from 2nd day onwards..... Cooling is sufficient but proper ventilation is requires to get cooling.... Recommended to go for another product... Thats all....,Water Leakage was observed from 2nd day onwards..... Cooling is sufficient but proper ventilation is requires to get cooling.... Recommended to go for another product... Thats all....,en
,Good quality,Good quality,en
,Overall good product. Low noise. Enough cooling.,Overall good product. Low noise. Enough cooling.,en
,"Our room is exactly 10x10 and we are two people. The room is well ventilated, so in this room, for 2 people, even for 3 people this cooler is enough. A stand to elevate its height can be better for cooler but we don't have, so we simply put the vents in the upward direction and it throws air to both of us. Air throw is definitely 9ft if not more. The water inlet is pretty wide and we use one full bucket water to fill directly and it doesn't pour out. U can even add ice into it. Separate ice chamber not there. Wheels are good. Cable is short -this issue is true with every cooler I guess. Water indicator level is good. Consumption is more I guess. 45litre is enough for 8hrs and then half and hour in afternoon but not more than that.

If u have keep it beside ur bed or workstation, and room is well ventilated...go for this. This cooler is very good for 2 3people sleeping on one bed or working in a room or even kitchen.","Our room is exactly 10x10 and we are two people. The room is well ventilated, so in this room, for 2 people, even for 3 people this cooler is enough. A stand to elevate its height can be better for cooler but we don't have, so we simply put the vents in the upward direction and it throws air to both of us. Air throw is definitely 9ft if not more. The water inlet is pretty wide and we use one full bucket water to fill directly and it doesn't pour out. U can even add ice into it. Separate ice chamber not there. Wheels are good. Cable is short -this issue is true with every cooler I guess. Water indicator level is good. Consumption is more I guess. 45litre is enough for 8hrs and then half and hour in afternoon but not more than that.

If u have keep it beside ur bed or workstation, and room is well ventilated...go for this. This cooler is very good for 2 3people sleeping on one bed or working in a room or even kitchen.",en
,Nice cooler,Nice cooler,en
,It so good for small room or a double bed... Compact size...Cool look..Low power working good with inverter also,It so good for small room or a double bed... Compact size...Cool look..Low power working good with inverter also,en
,Work like charm...must buy product in this price range..much better then all cooler like Bajaj 36 litre in this price range...if it's fitted in window cools more then air condition...motor is powerful..mustbuy product,Work like charm...must buy product in this price range..much better then all cooler like Bajaj 36 litre in this price range...if it's fitted in window cools more then air condition...motor is powerful..mustbuy product,en
,Very gd product.worth of money.,Very gd product.worth of money.,en
,"According to price the cooler is justified. I will say not that great but good.
Few observations
1 - cooler was licking.
2- it is smelling really bad while using.
3- it’s noise level is high compare to speed.
4- air throw is max till 3 feet.

Overall it is okay with price.. can be used for small room and single person.","According to price the cooler is justified. I will say not that great but good.
Few observations
1 - cooler was licking.
2- it is smelling really bad while using.
3- it’s noise level is high compare to speed.
4- air throw is max till 3 feet.

Overall it is okay with price.. can be used for small room and single person.",en
,Best 👌👌👌👌,Best 👌👌👌👌,de
3.9,For one room is best,For one room is best,en
,"Very sturdy, simple and good quality air cooler. Good cooling effect. Recommend 100%. Only issue for me is the fan speed which is very high even in the lowest position. This makes breezy noise . More lower speeds knob options would make it the best room cooler.","Very sturdy, simple and good quality air cooler. Good cooling effect. Recommend 100%. Only issue for me is the fan speed which is very high even in the lowest position. This makes breezy noise . More lower speeds knob options would make it the best room cooler.",en
,Fan cooling Ness is ok..but I couldn't find any icecubes inserting option,Fan cooling Ness is ok..but I couldn't find any icecubes inserting option,en
,Hindware cooler very nice cooling 👌👍 ...performance very nice 👌very good product to Flipkart.....l am very happy 😊 thanks to Flipkart......,Hindware cooler very nice cooling 👌👍 ...performance very nice 👌very good product to Flipkart.....l am very happy 😊 thanks to Flipkart......,en
,The product is awesome.. First you have to understand the difference between the air cooler and air conditioner. It cools my medium size room perfectly within 1 hour. Every cooler has a little noise like celling fan at high speed.. & you have to open the door or windows for cross ventilation so that it can work properly. The size is compact. Air flow is very good. I just love it & thanks Flipkart for door step Delevary on time..,The product is awesome.. First you have to understand the difference between the air cooler and air conditioner. It cools my medium size room perfectly within 1 hour. Every cooler has a little noise like celling fan at high speed.. & you have to open the door or windows for cross ventilation so that it can work properly. The size is compact. Air flow is very good. I just love it & thanks Flipkart for door step Delevary on time..,en
,Super good for room when window is open,Super good for room when window is open,en
,"Cooling effect is good no doubt only when the surrounding wind flow is good too. But product material is not strong, need to be very careful while moving on floor and opening the windows to clean tank. Should be handel carefully. Price wise good for bachelor's nd couples staying in compact flat. While running not too much noisy but air flow is good till 7ft and covers good amount of area. But not sure if it can help to cool on peak summer like April May June, that will be challenging.","Cooling effect is good no doubt only when the surrounding wind flow is good too. But product material is not strong, need to be very careful while moving on floor and opening the windows to clean tank. Should be handel carefully. Price wise good for bachelor's nd couples staying in compact flat. While running not too much noisy but air flow is good till 7ft and covers good amount of area. But not sure if it can help to cool on peak summer like April May June, that will be challenging.",en
,"Great looking product at this price point.
Great for bedroom and give cooling for complete day.
Flaps can be closed completely and blades are rotating
Quality of product is nice !","Great looking product at this price point.
Great for bedroom and give cooling for complete day.
Flaps can be closed completely and blades are rotating
Quality of product is nice !",en
,"First I thank to flip kart and seller. They packed very and without any damaged as reach well at my home. Next I filled normal water and start a cooler. After I felt 25% air flow my room. Next day I add normal water and cold water .now It flew very well cooling effect. So I satisfied and recommend to others... Thanks to seller, delivery person and flip kart..","First I thank to flip kart and seller. They packed very and without any damaged as reach well at my home. Next I filled normal water and start a cooler. After I felt 25% air flow my room. Next day I add normal water and cold water .now It flew very well cooling effect. So I satisfied and recommend to others... Thanks to seller, delivery person and flip kart..",en
,Small size at this price. Value price 5000-5500 may be,Small size at this price. Value price 5000-5500 may be,en
3.9,"Good cooler, works fine and looks good. Water tank capacity is quite sufficient. Good air throw. Swing option works well. To get good air breeze, ventilation is must - which is common for all coolers. Power consumption is only 105W, which is a plus point. Overall good selection.","Good cooler, works fine and looks good. Water tank capacity is quite sufficient. Good air throw. Swing option works well. To get good air breeze, ventilation is must - which is common for all coolers. Power consumption is only 105W, which is a plus point. Overall good selection.",en
,"Before buying this i saw many reviews about water leakage.. But i must tell you,there is very minimal leakage... If u r ordering this for ur personal room in hostel,or you leaving outside home,then it's totally fine... Even if u buy this for home,i don't think so that,the leakage prblm affect that much.. so i suggest you to go for it ...","Before buying this i saw many reviews about water leakage.. But i must tell you,there is very minimal leakage... If u r ordering this for ur personal room in hostel,or you leaving outside home,then it's totally fine... Even if u buy this for home,i don't think so that,the leakage prblm affect that much.. so i suggest you to go for it ...",en
,"Just koolin-awesome... Perfect for small n medium rooms. Just put a big ice cube in the water from back panel and wallah feel the snowcrest like cool effect. But needed good ventilation of windows and doors or else humidity wil stick like salt on your skin. Minor side water leakage can be solved by pushing the upper side of honey comb slightly inside. Stand with wheels could have been a best option instead. Loved the product, the design, the plastic body, the air flow and the reasonable price.","Just koolin-awesome... Perfect for small n medium rooms. Just put a big ice cube in the water from back panel and wallah feel the snowcrest like cool effect. But needed good ventilation of windows and doors or else humidity wil stick like salt on your skin. Minor side water leakage can be solved by pushing the upper side of honey comb slightly inside. Stand with wheels could have been a best option instead. Loved the product, the design, the plastic body, the air flow and the reasonable price.",en
,"Excellent product with superb built-in quality for the price range with a decent cooling, can’t expect more from this segment of product","Excellent product with superb built-in quality for the price range with a decent cooling, can’t expect more from this segment of product",en
,Good one..,Good one..,en
,Nice Cooler suitable for small & medium size room for 3-4 persons. Cooler looks premium and weightless you can easily move. Air flow is average and cooling system is good. If you have small and medium size room this cooler is enough don't buy big size coolers(that takes more place and difficult to move). Inside it is having fan not blower that is one advantage fan always give good air flow compare to blower.At this price range this is the best cooler for medium size room for 3-4 persons.,Nice Cooler suitable for small & medium size room for 3-4 persons. Cooler looks premium and weightless you can easily move. Air flow is average and cooling system is good. If you have small and medium size room this cooler is enough don't buy big size coolers(that takes more place and difficult to move). Inside it is having fan not blower that is one advantage fan always give good air flow compare to blower.At this price range this is the best cooler for medium size room for 3-4 persons.,en
,"Adding review after 2 days of use, cooler is awesome in this price range, it has good air flow even cooling is good enough although summer hasn't come at it's verge, yet getting feeling that this cooler will prove itself a saviour from extreme summer heat...","Adding review after 2 days of use, cooler is awesome in this price range, it has good air flow even cooling is good enough although summer hasn't come at it's verge, yet getting feeling that this cooler will prove itself a saviour from extreme summer heat...",en
,"Good for now, Will update in summer. Cooler potential can only be judged during intense summer.","Good for now, Will update in summer. Cooler potential can only be judged during intense summer.",en
,It's actually not as expected sized cooler but after using it an Whole day tis cooler noise level is so down n is cooling the room with 5 people so good so don't go with size the quality and the power of this cooler is 4star rated in this price range ....❤️loved it #HINDWARE grate choice,It's actually not as expected sized cooler but after using it an Whole day tis cooler noise level is so down n is cooling the room with 5 people so good so don't go with size the quality and the power of this cooler is 4star rated in this price range ....❤️loved it #HINDWARE grate choice,en
,"Bought this product on 6th May 2021. Flipkart delivered it on 10th May 2021. Product received 2 days before the scheduled delivery that too in lockdown period. Packaging was good and product came a brand new.
I was looking for a personal cooler and i must say hindware cooler does his job very nicely. Cooling is great at this size of cooler. Water tank is sufficient. All you need is to keep cooler in a room and create ventilation to enjoy best cooling experience. Look wise cooler is super cute and very easy to keep it because of its tiny size. Great product. Must recommend to buy this summer and enjoy cooling.
If it would have ice chamber too that would be an plus for this cooler but without ice chamber also it does its job very well.","Bought this product on 6th May 2021. Flipkart delivered it on 10th May 2021. Product received 2 days before the scheduled delivery that too in lockdown period. Packaging was good and product came a brand new.
I was looking for a personal cooler and i must say hindware cooler does his job very nicely. Cooling is great at this size of cooler. Water tank is sufficient. All you need is to keep cooler in a room and create ventilation to enjoy best cooling experience. Look wise cooler is super cute and very easy to keep it because of its tiny size. Great product. Must recommend to buy this summer and enjoy cooling.
If it would have ice chamber too that would be an plus for this cooler but without ice chamber also it does its job very well.",en
3.9,Just awesome product.... Delivery on time.... It's functioning very good..... Behaviour of the delivery executive was very good....I'm very happy......Same as shown in the picture..... Everything is just awesome....I just loved it very much..... Thank you Flipkart and delivery executive for good servicing.......🥰🥰🥰🥰🥰🥰❤️❤️❤️❤️❤️❤️,Just awesome product.... Delivery on time.... It's functioning very good..... Behaviour of the delivery executive was very good....I'm very happy......Same as shown in the picture..... Everything is just awesome....I just loved it very much..... Thank you Flipkart and delivery executive for good servicing.......🥰🥰🥰🥰🥰🥰❤️❤️❤️❤️❤️❤️,en
,leakage in water,leakage in water,af
,"Cooler is consist of one fan ,one submersible pump ,three side honeycomb pad,one water tank and some electrical circuits. Don't expect too much cooling , it's just a cooling fan. The cooler cools to a specific area,it will not cool the room.This much amount for these component is high.it could be in between 2500 to 3500. However, under 6000 this product is better than most of the cooler available in the market. The product I got is bent from two sides.","Cooler is consist of one fan ,one submersible pump ,three side honeycomb pad,one water tank and some electrical circuits. Don't expect too much cooling , it's just a cooling fan. The cooler cools to a specific area,it will not cool the room.This much amount for these component is high.it could be in between 2500 to 3500. However, under 6000 this product is better than most of the cooler available in the market. The product I got is bent from two sides.",en
,"4 out of 5 Design.
4 out of 5 noise
5 out of 5 tank capacity. Sufficient capacity for two days of water.
5 out of 5 Air throw
3 out of 5 ice chamber
4 out of 5 cooling. The main reason is honeycomb pads are not enough dense.

Overall good purchase. I am satisfied.
You can go with this.","4 out of 5 Design.
4 out of 5 noise
5 out of 5 tank capacity. Sufficient capacity for two days of water.
5 out of 5 Air throw
3 out of 5 ice chamber
4 out of 5 cooling. The main reason is honeycomb pads are not enough dense.

Overall good purchase. I am satisfied.
You can go with this.",en
,"First week:
Enough sturdy, good fan and cooling capacity for small to medium sized rooms. Not for halls or large rooms. It says 45 litres but I think it's lesser thought of rating a star less for this but didn't do it as it serves the purpose.
Second week:
Leakage problem starts
No option to remove, replace, clean or adjust sides as the option to do so is not available, only rear side is detachable. Final verdict not recommended because of undetachable sides. A good product with major defect.
Third week:
Water leakage stopped automatically, but one drawback with is side pads are not detachable.","First week:
Enough sturdy, good fan and cooling capacity for small to medium sized rooms. Not for halls or large rooms. It says 45 litres but I think it's lesser thought of rating a star less for this but didn't do it as it serves the purpose.
Second week:
Leakage problem starts
No option to remove, replace, clean or adjust sides as the option to do so is not available, only rear side is detachable. Final verdict not recommended because of undetachable sides. A good product with major defect.
Third week:
Water leakage stopped automatically, but one drawback with is side pads are not detachable.",en
,Nice one for medium type rooms cools effectively. Thanks to delivery boy as he delivered the product to 3rd floor.,Nice one for medium type rooms cools effectively. Thanks to delivery boy as he delivered the product to 3rd floor.,en
,"It cools very fastly ,best cooler at this price and daily fill fresh water for best cooling results, when not in use cover up the air cooler with its card board or rut box or wrap some old clothes otherwise mosquitos will make its nest","It cools very fastly ,best cooler at this price and daily fill fresh water for best cooling results, when not in use cover up the air cooler with its card board or rut box or wrap some old clothes otherwise mosquitos will make its nest",en
,For small room it's really good,For small room it's really good,en
,is good product,is good product,en
,Received my product just one hour ago. It's looking so cool & I am very excited to use it because its my first ever cooler purchase..I wanna say that its the best cooler under 6k. Thanks Flipkart..!!,Received my product just one hour ago. It's looking so cool & I am very excited to use it because its my first ever cooler purchase..I wanna say that its the best cooler under 6k. Thanks Flipkart..!!,en
3.9,"The hindware cooler was awesome and nice cooling for personal and bedroom use but the size were too small..
Company or seller should give at least 1 stand for this cooler for more increase in height.......because when we put this on ground level it shoud give air half of the bed at half upper side and half bottom side due to small in size....
Soo it needs more height......","The hindware cooler was awesome and nice cooling for personal and bedroom use but the size were too small..
Company or seller should give at least 1 stand for this cooler for more increase in height.......because when we put this on ground level it shoud give air half of the bed at half upper side and half bottom side due to small in size....
Soo it needs more height......",en
,"Hindware 45 L cooler is good and working well as of now.
got this cooler within a day of booking. cooling is good and cools 160 Sq FT area easily in 15 mins.. good for medium size room...
button knob should have markings or indicator for function selection and speed selection..
ice chamber should have been provided...
I m mostly using on speed 1 and still provides good air throw.. on high speed noise level also increases..
overall plastic quality is good.
hoping it would last long and less repair and maintenance is required..
satisfied with the product..","Hindware 45 L cooler is good and working well as of now.
got this cooler within a day of booking. cooling is good and cools 160 Sq FT area easily in 15 mins.. good for medium size room...
button knob should have markings or indicator for function selection and speed selection..
ice chamber should have been provided...
I m mostly using on speed 1 and still provides good air throw.. on high speed noise level also increases..
overall plastic quality is good.
hoping it would last long and less repair and maintenance is required..
satisfied with the product..",en
,Side windows not level,Side windows not level,en
,"Product is ok for couples or for three persons
it is good for small rooms i am writing this reveiw after 5 days,
one thing i want to mention is, its started making unusual sounds from inside within a week of purchase. i have called customer care exe they are replacing its motor.","Product is ok for couples or for three persons
it is good for small rooms i am writing this reveiw after 5 days,
one thing i want to mention is, its started making unusual sounds from inside within a week of purchase. i have called customer care exe they are replacing its motor.",en
,It's Good Product,It's Good Product,en
,Super super,Super super,id
,"For Overall build quality and material used - 1 Star
For Properly Water Distribution Design to spray over every honey comb equally used - 1 Star
For Maximum Tank which is of 45 Ltr water storage capacity when compared to other brands products have the same price range used - 1 Star
For Energy Efficient which is Power Consumption of - 105 W - 1 star
For compact size- 1 star.

Few Cons- Higher price of 6000. price should have lower to 5k. Bought it @5400 using credit card offer and even in low speed air throw/fan speed is high.
Overall it is okay in this price range.. can be used for small room and single person.","For Overall build quality and material used - 1 Star
For Properly Water Distribution Design to spray over every honey comb equally used - 1 Star
For Maximum Tank which is of 45 Ltr water storage capacity when compared to other brands products have the same price range used - 1 Star
For Energy Efficient which is Power Consumption of - 105 W - 1 star
For compact size- 1 star.

Few Cons- Higher price of 6000. price should have lower to 5k. Bought it @5400 using credit card offer and even in low speed air throw/fan speed is high.
Overall it is okay in this price range.. can be used for small room and single person.",en
,"Cooler buit 3.5/5
Fan speed 5/5
3 Colling vent 4/5
Fan Noise 3/5
Wheels 4/5
Water capacity is 55 L 5/5
Cooling 3.7/5

Overall experience is good you can go for it","Cooler buit 3.5/5
Fan speed 5/5
3 Colling vent 4/5
Fan Noise 3/5
Wheels 4/5
Water capacity is 55 L 5/5
Cooling 3.7/5

Overall experience is good you can go for it",en
,"Water leak ,worst quality","Water leak ,worst quality",en
,Good Product,Good Product,en
3.9,Very good cooler,Very good cooler,en
,"Overall a good product, good cooling, sufficient water for overnight, more than enough.

Cons:
- Noise
- random water spilling (can be fixed by adjusting the cartons - honeybee)
- lack of mosquito net (it would have reduced water spillage)","Overall a good product, good cooling, sufficient water for overnight, more than enough.

Cons:
- Noise
- random water spilling (can be fixed by adjusting the cartons - honeybee)
- lack of mosquito net (it would have reduced water spillage)",en
,Product is good enough for two people and for a small rooms ..air throw is not much good..but in this summer it's helps a lot 🙂,Product is good enough for two people and for a small rooms ..air throw is not much good..but in this summer it's helps a lot 🙂,en
,Excellent cooling but there is leakage 9f water which spiils on the floor. I got first one replacement but the new one also has leakage between the pad and tub.....but when it starts working it's awesome.,Excellent cooling but there is leakage 9f water which spiils on the floor. I got first one replacement but the new one also has leakage between the pad and tub.....but when it starts working it's awesome.,en
,Nice Product value for money.,Nice Product value for money.,en
,"Product is good but some water likeg from side,,, and meterial quality is normal not a hard flastic","Product is good but some water likeg from side,,, and meterial quality is normal not a hard flastic",en
,After 10 days used the product is very good,After 10 days used the product is very good,en
,Good product and cooling very good.,Good product and cooling very good.,en
,Value for money,Value for money,ca
,I am satisfied with this cooler 😍😍.,I am satisfied with this cooler 😍😍.,en
3.9,Excellent,Excellent,ca
,"I have been using it for almost 4 months now. It is super silent, no disturbance in the sleep. Although it requires regularly cleanings after 20-25 days, otherwise water starts spilling out from the pads due to dirt and clogging as it do not have dust mesh outside like some other air coolers. Good air throw and the cooling is also good.","I have been using it for almost 4 months now. It is super silent, no disturbance in the sleep. Although it requires regularly cleanings after 20-25 days, otherwise water starts spilling out from the pads due to dirt and clogging as it do not have dust mesh outside like some other air coolers. Good air throw and the cooling is also good.",en
,Good quality,Good quality,en
,Awesome product with price 👌 thanks flipkart,Awesome product with price 👌 thanks flipkart,en
,Too short,Too short,en
,Good product,Good product,en
,"Cooler is of nice quality and sufficient for 120 sqft room.
Air throw is also decent and swing works very good.","Cooler is of nice quality and sufficient for 120 sqft room.
Air throw is also decent and swing works very good.",en
,"Nice product

Awesome looks and works fine","Nice product

Awesome looks and works fine",en
,"Well designed, Good quality material, High speed fan , and low electricity consumption. Just go for it if you have medium size room with cross ventilation.","Well designed, Good quality material, High speed fan , and low electricity consumption. Just go for it if you have medium size room with cross ventilation.",en
,Super product on this price tank capacity ok fan speed ok but hight is 10% more want this sagment,Super product on this price tank capacity ok fan speed ok but hight is 10% more want this sagment,en
3.9,Really Best product.. Good Coolingand Velue for money 🤑🤑,Really Best product.. Good Coolingand Velue for money 🤑🤑,en
,"Good quality product.
Fan noise slightly more.","Good quality product.
Fan noise slightly more.",en
,Very good,Very good,af
,Super ❤️,Super ❤️,id
,Cooler is great but according to price size very small,Cooler is great but according to price size very small,en
,Nice product,Nice product,ro
,Go for it,Go for it,en
,Good working,Good working,af
,Good,Good,so
,Okey,Okey,tr
3.9,All right,All right,en
,Budget Cooler,Budget Cooler,da
,"Do not go with this product. I bought this Hindware 45L Personal Air Cooler 1 month ago and it's pump works sometimes and stops working suddenly. The customer service of hindware is too bad. When you raise tickets, your tickets will be cancelled automatically by them and no service will be provided.","Do not go with this product. I bought this Hindware 45L Personal Air Cooler 1 month ago and it's pump works sometimes and stops working suddenly. The customer service of hindware is too bad. When you raise tickets, your tickets will be cancelled automatically by them and no service will be provided.",en
,I love this product thanks Flipkart ❤️,I love this product thanks Flipkart ❤️,en
,"Product build quality absolute best!! No 2nd thought, had not expected this budget friendly air cooler to be this Best.
Noise perspective Minimum because it uses fan not the blower.
Pump works good,
Opertatng knobs works great, touch n feel is also very good.
Then comes to Air throw, We have been using speed 1 and throws air upto 10 feet easily.so think of top speed.
And finally comes to performance wise cooling the air is good not great, don't expect too much from aircoolers in this hot summer..but as middle class we expect too much in minimum budget range..
So I suggest no turn around just go for it, it's absolute beast in its own range.","Product build quality absolute best!! No 2nd thought, had not expected this budget friendly air cooler to be this Best.
Noise perspective Minimum because it uses fan not the blower.
Pump works good,
Opertatng knobs works great, touch n feel is also very good.
Then comes to Air throw, We have been using speed 1 and throws air upto 10 feet easily.so think of top speed.
And finally comes to performance wise cooling the air is good not great, don't expect too much from aircoolers in this hot summer..but as middle class we expect too much in minimum budget range..
So I suggest no turn around just go for it, it's absolute beast in its own range.",en
,Well packaged and delivered in good condition... Don't go by the negative reviews ...I am using it and it's worth buying .,Well packaged and delivered in good condition... Don't go by the negative reviews ...I am using it and it's worth buying .,en
,Paisa wasool products,Paisa wasool products,en
,Good,Good,so
,Nice product..,Nice product..,ro
,Good as price,Good as price,en
