rating,text,text_en,lang,cleaned,tokens
3.9,Water Leakage was observed from 2nd day onwards..... Cooling is sufficient but proper ventilation is requires to get cooling.... Recommended to go for another product... Thats all....,Water Leakage was observed from 2nd day onwards..... Cooling is sufficient but proper ventilation is requires to get cooling.... Recommended to go for another product... Thats all....,en,water leakage observed 2nd day onwards cooling sufficient proper ventilation requires get cooling recommended another product thats,"['water', 'leakage', 'observed', '2nd', 'day', 'onwards', 'cooling', 'sufficient', 'proper', 'ventilation', 'requires', 'get', 'cooling', 'recommended', 'another', 'product', 'thats']"
,Good quality,Good quality,en,good quality,"['good', 'quality']"
,Overall good product. Low noise. Enough cooling.,Overall good product. Low noise. Enough cooling.,en,overall good product low noise enough cooling,"['overall', 'good', 'product', 'low', 'noise', 'enough', 'cooling']"
,"Our room is exactly 10x10 and we are two people. The room is well ventilated, so in this room, for 2 people, even for 3 people this cooler is enough. A stand to elevate its height can be better for cooler but we don't have, so we simply put the vents in the upward direction and it throws air to both of us. Air throw is definitely 9ft if not more. The water inlet is pretty wide and we use one full bucket water to fill directly and it doesn't pour out. U can even add ice into it. Separate ice chamber not there. Wheels are good. Cable is short -this issue is true with every cooler I guess. Water indicator level is good. Consumption is more I guess. 45litre is enough for 8hrs and then half and hour in afternoon but not more than that.

If u have keep it beside ur bed or workstation, and room is well ventilated...go for this. This cooler is very good for 2 3people sleeping on one bed or working in a room or even kitchen.","Our room is exactly 10x10 and we are two people. The room is well ventilated, so in this room, for 2 people, even for 3 people this cooler is enough. A stand to elevate its height can be better for cooler but we don't have, so we simply put the vents in the upward direction and it throws air to both of us. Air throw is definitely 9ft if not more. The water inlet is pretty wide and we use one full bucket water to fill directly and it doesn't pour out. U can even add ice into it. Separate ice chamber not there. Wheels are good. Cable is short -this issue is true with every cooler I guess. Water indicator level is good. Consumption is more I guess. 45litre is enough for 8hrs and then half and hour in afternoon but not more than that.

If u have keep it beside ur bed or workstation, and room is well ventilated...go for this. This cooler is very good for 2 3people sleeping on one bed or working in a room or even kitchen.",en,room exactly 10x10 two people room well ventilated room people even people cooler enough stand elevate height better cooler simply put vent upward direction throw air air throw definitely 9ft water inlet pretty wide use one full bucket water fill directly pour even add ice separate ice chamber wheel good cable short issue true every cooler guess water indicator level good consumption guess 45litre enough 8hrs half hour afternoon keep beside bed workstation room well ventilated cooler good 3people sleeping one bed working room even kitchen,"['room', 'exactly', '10x10', 'two', 'people', 'room', 'well', 'ventilated', 'room', 'people', 'even', 'people', 'cooler', 'enough', 'stand', 'elevate', 'height', 'better', 'cooler', 'simply', 'put', 'vent', 'upward', 'direction', 'throw', 'air', 'air', 'throw', 'definitely', '9ft', 'water', 'inlet', 'pretty', 'wide', 'use', 'one', 'full', 'bucket', 'water', 'fill', 'directly', 'pour', 'even', 'add', 'ice', 'separate', 'ice', 'chamber', 'wheel', 'good', 'cable', 'short', 'issue', 'true', 'every', 'cooler', 'guess', 'water', 'indicator', 'level', 'good', 'consumption', 'guess', '45litre', 'enough', '8hrs', 'half', 'hour', 'afternoon', 'keep', 'beside', 'bed', 'workstation', 'room', 'well', 'ventilated', 'cooler', 'good', '3people', 'sleeping', 'one', 'bed', 'working', 'room', 'even', 'kitchen']"
,Nice cooler,Nice cooler,en,nice cooler,"['nice', 'cooler']"
,It so good for small room or a double bed... Compact size...Cool look..Low power working good with inverter also,It so good for small room or a double bed... Compact size...Cool look..Low power working good with inverter also,en,good small room double bed compact size cool look low power working good inverter also,"['good', 'small', 'room', 'double', 'bed', 'compact', 'size', 'cool', 'look', 'low', 'power', 'working', 'good', 'inverter', 'also']"
,Work like charm...must buy product in this price range..much better then all cooler like Bajaj 36 litre in this price range...if it's fitted in window cools more then air condition...motor is powerful..mustbuy product,Work like charm...must buy product in this price range..much better then all cooler like Bajaj 36 litre in this price range...if it's fitted in window cools more then air condition...motor is powerful..mustbuy product,en,work like charm must buy product price range much better cooler like bajaj litre price range fitted window cool air condition motor powerful mustbuy product,"['work', 'like', 'charm', 'must', 'buy', 'product', 'price', 'range', 'much', 'better', 'cooler', 'like', 'bajaj', 'litre', 'price', 'range', 'fitted', 'window', 'cool', 'air', 'condition', 'motor', 'powerful', 'mustbuy', 'product']"
,Very gd product.worth of money.,Very gd product.worth of money.,en,product worth money,"['product', 'worth', 'money']"
,"According to price the cooler is justified. I will say not that great but good.
Few observations
1 - cooler was licking.
2- it is smelling really bad while using.
3- it’s noise level is high compare to speed.
4- air throw is max till 3 feet.

Overall it is okay with price.. can be used for small room and single person.","According to price the cooler is justified. I will say not that great but good.
Few observations
1 - cooler was licking.
2- it is smelling really bad while using.
3- it’s noise level is high compare to speed.
4- air throw is max till 3 feet.

Overall it is okay with price.. can be used for small room and single person.",en,according price cooler justified say great good observation cooler licking smelling really bad using noise level high compare speed air throw max till foot overall okay price used small room single person,"['according', 'price', 'cooler', 'justified', 'say', 'great', 'good', 'observation', 'cooler', 'licking', 'smelling', 'really', 'bad', 'using', 'noise', 'level', 'high', 'compare', 'speed', 'air', 'throw', 'max', 'till', 'foot', 'overall', 'okay', 'price', 'used', 'small', 'room', 'single', 'person']"
,Best 👌👌👌👌,Best 👌👌👌👌,de,best,['best']
3.9,For one room is best,For one room is best,en,one room best,"['one', 'room', 'best']"
,"Very sturdy, simple and good quality air cooler. Good cooling effect. Recommend 100%. Only issue for me is the fan speed which is very high even in the lowest position. This makes breezy noise . More lower speeds knob options would make it the best room cooler.","Very sturdy, simple and good quality air cooler. Good cooling effect. Recommend 100%. Only issue for me is the fan speed which is very high even in the lowest position. This makes breezy noise . More lower speeds knob options would make it the best room cooler.",en,sturdy simple good quality air cooler good cooling effect recommend 100 issue fan speed high even lowest position make breezy noise lower speed knob option would make best room cooler,"['sturdy', 'simple', 'good', 'quality', 'air', 'cooler', 'good', 'cooling', 'effect', 'recommend', '100', 'issue', 'fan', 'speed', 'high', 'even', 'lowest', 'position', 'make', 'breezy', 'noise', 'lower', 'speed', 'knob', 'option', 'would', 'make', 'best', 'room', 'cooler']"
,Fan cooling Ness is ok..but I couldn't find any icecubes inserting option,Fan cooling Ness is ok..but I couldn't find any icecubes inserting option,en,fan cooling ness find icecubes inserting option,"['fan', 'cooling', 'ness', 'find', 'icecubes', 'inserting', 'option']"
,Hindware cooler very nice cooling 👌👍 ...performance very nice 👌very good product to Flipkart.....l am very happy 😊 thanks to Flipkart......,Hindware cooler very nice cooling 👌👍 ...performance very nice 👌very good product to Flipkart.....l am very happy 😊 thanks to Flipkart......,en,hindware cooler nice cooling performance nice good product flipkart happy thanks flipkart,"['hindware', 'cooler', 'nice', 'cooling', 'performance', 'nice', 'good', 'product', 'flipkart', 'happy', 'thanks', 'flipkart']"
,The product is awesome.. First you have to understand the difference between the air cooler and air conditioner. It cools my medium size room perfectly within 1 hour. Every cooler has a little noise like celling fan at high speed.. & you have to open the door or windows for cross ventilation so that it can work properly. The size is compact. Air flow is very good. I just love it & thanks Flipkart for door step Delevary on time..,The product is awesome.. First you have to understand the difference between the air cooler and air conditioner. It cools my medium size room perfectly within 1 hour. Every cooler has a little noise like celling fan at high speed.. & you have to open the door or windows for cross ventilation so that it can work properly. The size is compact. Air flow is very good. I just love it & thanks Flipkart for door step Delevary on time..,en,product awesome first understand difference air cooler air conditioner cool medium size room perfectly within hour every cooler little noise like celling fan high speed open door window cross ventilation work properly size compact air flow good love thanks flipkart door step delevary time,"['product', 'awesome', 'first', 'understand', 'difference', 'air', 'cooler', 'air', 'conditioner', 'cool', 'medium', 'size', 'room', 'perfectly', 'within', 'hour', 'every', 'cooler', 'little', 'noise', 'like', 'celling', 'fan', 'high', 'speed', 'open', 'door', 'window', 'cross', 'ventilation', 'work', 'properly', 'size', 'compact', 'air', 'flow', 'good', 'love', 'thanks', 'flipkart', 'door', 'step', 'delevary', 'time']"
,Super good for room when window is open,Super good for room when window is open,en,super good room window open,"['super', 'good', 'room', 'window', 'open']"
,"Cooling effect is good no doubt only when the surrounding wind flow is good too. But product material is not strong, need to be very careful while moving on floor and opening the windows to clean tank. Should be handel carefully. Price wise good for bachelor's nd couples staying in compact flat. While running not too much noisy but air flow is good till 7ft and covers good amount of area. But not sure if it can help to cool on peak summer like April May June, that will be challenging.","Cooling effect is good no doubt only when the surrounding wind flow is good too. But product material is not strong, need to be very careful while moving on floor and opening the windows to clean tank. Should be handel carefully. Price wise good for bachelor's nd couples staying in compact flat. While running not too much noisy but air flow is good till 7ft and covers good amount of area. But not sure if it can help to cool on peak summer like April May June, that will be challenging.",en,cooling effect good doubt surrounding wind flow good product material strong need careful moving floor opening window clean tank handel carefully price wise good bachelor couple staying compact flat running much noisy air flow good till 7ft cover good amount area sure help cool peak summer like april may june challenging,"['cooling', 'effect', 'good', 'doubt', 'surrounding', 'wind', 'flow', 'good', 'product', 'material', 'strong', 'need', 'careful', 'moving', 'floor', 'opening', 'window', 'clean', 'tank', 'handel', 'carefully', 'price', 'wise', 'good', 'bachelor', 'couple', 'staying', 'compact', 'flat', 'running', 'much', 'noisy', 'air', 'flow', 'good', 'till', '7ft', 'cover', 'good', 'amount', 'area', 'sure', 'help', 'cool', 'peak', 'summer', 'like', 'april', 'may', 'june', 'challenging']"
,"Great looking product at this price point.
Great for bedroom and give cooling for complete day.
Flaps can be closed completely and blades are rotating
Quality of product is nice !","Great looking product at this price point.
Great for bedroom and give cooling for complete day.
Flaps can be closed completely and blades are rotating
Quality of product is nice !",en,great looking product price point great bedroom give cooling complete day flap closed completely blade rotating quality product nice,"['great', 'looking', 'product', 'price', 'point', 'great', 'bedroom', 'give', 'cooling', 'complete', 'day', 'flap', 'closed', 'completely', 'blade', 'rotating', 'quality', 'product', 'nice']"
,"First I thank to flip kart and seller. They packed very and without any damaged as reach well at my home. Next I filled normal water and start a cooler. After I felt 25% air flow my room. Next day I add normal water and cold water .now It flew very well cooling effect. So I satisfied and recommend to others... Thanks to seller, delivery person and flip kart..","First I thank to flip kart and seller. They packed very and without any damaged as reach well at my home. Next I filled normal water and start a cooler. After I felt 25% air flow my room. Next day I add normal water and cold water .now It flew very well cooling effect. So I satisfied and recommend to others... Thanks to seller, delivery person and flip kart..",en,first thank flip kart seller packed without damaged reach well home next filled normal water start cooler felt air flow room next day add normal water cold water flew well cooling effect satisfied recommend others thanks seller delivery person flip kart,"['first', 'thank', 'flip', 'kart', 'seller', 'packed', 'without', 'damaged', 'reach', 'well', 'home', 'next', 'filled', 'normal', 'water', 'start', 'cooler', 'felt', 'air', 'flow', 'room', 'next', 'day', 'add', 'normal', 'water', 'cold', 'water', 'flew', 'well', 'cooling', 'effect', 'satisfied', 'recommend', 'others', 'thanks', 'seller', 'delivery', 'person', 'flip', 'kart']"
,Small size at this price. Value price 5000-5500 may be,Small size at this price. Value price 5000-5500 may be,en,small size price value price 5000 5500 may,"['small', 'size', 'price', 'value', 'price', '5000', '5500', 'may']"
3.9,"Good cooler, works fine and looks good. Water tank capacity is quite sufficient. Good air throw. Swing option works well. To get good air breeze, ventilation is must - which is common for all coolers. Power consumption is only 105W, which is a plus point. Overall good selection.","Good cooler, works fine and looks good. Water tank capacity is quite sufficient. Good air throw. Swing option works well. To get good air breeze, ventilation is must - which is common for all coolers. Power consumption is only 105W, which is a plus point. Overall good selection.",en,good cooler work fine look good water tank capacity quite sufficient good air throw swing option work well get good air breeze ventilation must common cooler power consumption 105w plus point overall good selection,"['good', 'cooler', 'work', 'fine', 'look', 'good', 'water', 'tank', 'capacity', 'quite', 'sufficient', 'good', 'air', 'throw', 'swing', 'option', 'work', 'well', 'get', 'good', 'air', 'breeze', 'ventilation', 'must', 'common', 'cooler', 'power', 'consumption', '105w', 'plus', 'point', 'overall', 'good', 'selection']"
,"Before buying this i saw many reviews about water leakage.. But i must tell you,there is very minimal leakage... If u r ordering this for ur personal room in hostel,or you leaving outside home,then it's totally fine... Even if u buy this for home,i don't think so that,the leakage prblm affect that much.. so i suggest you to go for it ...","Before buying this i saw many reviews about water leakage.. But i must tell you,there is very minimal leakage... If u r ordering this for ur personal room in hostel,or you leaving outside home,then it's totally fine... Even if u buy this for home,i don't think so that,the leakage prblm affect that much.. so i suggest you to go for it ...",en,buying saw many review water leakage must tell minimal leakage ordering personal room hostel leaving outside home totally fine even buy home think leakage prblm affect much suggest,"['buying', 'saw', 'many', 'review', 'water', 'leakage', 'must', 'tell', 'minimal', 'leakage', 'ordering', 'personal', 'room', 'hostel', 'leaving', 'outside', 'home', 'totally', 'fine', 'even', 'buy', 'home', 'think', 'leakage', 'prblm', 'affect', 'much', 'suggest']"
,"Just koolin-awesome... Perfect for small n medium rooms. Just put a big ice cube in the water from back panel and wallah feel the snowcrest like cool effect. But needed good ventilation of windows and doors or else humidity wil stick like salt on your skin. Minor side water leakage can be solved by pushing the upper side of honey comb slightly inside. Stand with wheels could have been a best option instead. Loved the product, the design, the plastic body, the air flow and the reasonable price.","Just koolin-awesome... Perfect for small n medium rooms. Just put a big ice cube in the water from back panel and wallah feel the snowcrest like cool effect. But needed good ventilation of windows and doors or else humidity wil stick like salt on your skin. Minor side water leakage can be solved by pushing the upper side of honey comb slightly inside. Stand with wheels could have been a best option instead. Loved the product, the design, the plastic body, the air flow and the reasonable price.",en,koolin awesome perfect small medium room put big ice cube water back panel wallah feel snowcrest like cool effect needed good ventilation window door else humidity wil stick like salt skin minor side water leakage solved pushing upper side honey comb slightly inside stand wheel could best option instead loved product design plastic body air flow reasonable price,"['koolin', 'awesome', 'perfect', 'small', 'medium', 'room', 'put', 'big', 'ice', 'cube', 'water', 'back', 'panel', 'wallah', 'feel', 'snowcrest', 'like', 'cool', 'effect', 'needed', 'good', 'ventilation', 'window', 'door', 'else', 'humidity', 'wil', 'stick', 'like', 'salt', 'skin', 'minor', 'side', 'water', 'leakage', 'solved', 'pushing', 'upper', 'side', 'honey', 'comb', 'slightly', 'inside', 'stand', 'wheel', 'could', 'best', 'option', 'instead', 'loved', 'product', 'design', 'plastic', 'body', 'air', 'flow', 'reasonable', 'price']"
,"Excellent product with superb built-in quality for the price range with a decent cooling, can’t expect more from this segment of product","Excellent product with superb built-in quality for the price range with a decent cooling, can’t expect more from this segment of product",en,excellent product superb built quality price range decent cooling expect segment product,"['excellent', 'product', 'superb', 'built', 'quality', 'price', 'range', 'decent', 'cooling', 'expect', 'segment', 'product']"
,Good one..,Good one..,en,good one,"['good', 'one']"
,Nice Cooler suitable for small & medium size room for 3-4 persons. Cooler looks premium and weightless you can easily move. Air flow is average and cooling system is good. If you have small and medium size room this cooler is enough don't buy big size coolers(that takes more place and difficult to move). Inside it is having fan not blower that is one advantage fan always give good air flow compare to blower.At this price range this is the best cooler for medium size room for 3-4 persons.,Nice Cooler suitable for small & medium size room for 3-4 persons. Cooler looks premium and weightless you can easily move. Air flow is average and cooling system is good. If you have small and medium size room this cooler is enough don't buy big size coolers(that takes more place and difficult to move). Inside it is having fan not blower that is one advantage fan always give good air flow compare to blower.At this price range this is the best cooler for medium size room for 3-4 persons.,en,nice cooler suitable small medium size room person cooler look premium weightless easily move air flow average cooling system good small medium size room cooler enough buy big size cooler take place difficult move inside fan blower one advantage fan always give good air flow compare blower price range best cooler medium size room person,"['nice', 'cooler', 'suitable', 'small', 'medium', 'size', 'room', 'person', 'cooler', 'look', 'premium', 'weightless', 'easily', 'move', 'air', 'flow', 'average', 'cooling', 'system', 'good', 'small', 'medium', 'size', 'room', 'cooler', 'enough', 'buy', 'big', 'size', 'cooler', 'take', 'place', 'difficult', 'move', 'inside', 'fan', 'blower', 'one', 'advantage', 'fan', 'always', 'give', 'good', 'air', 'flow', 'compare', 'blower', 'price', 'range', 'best', 'cooler', 'medium', 'size', 'room', 'person']"
,"Adding review after 2 days of use, cooler is awesome in this price range, it has good air flow even cooling is good enough although summer hasn't come at it's verge, yet getting feeling that this cooler will prove itself a saviour from extreme summer heat...","Adding review after 2 days of use, cooler is awesome in this price range, it has good air flow even cooling is good enough although summer hasn't come at it's verge, yet getting feeling that this cooler will prove itself a saviour from extreme summer heat...",en,adding review day use cooler awesome price range good air flow even cooling good enough although summer come verge yet getting feeling cooler prove saviour extreme summer heat,"['adding', 'review', 'day', 'use', 'cooler', 'awesome', 'price', 'range', 'good', 'air', 'flow', 'even', 'cooling', 'good', 'enough', 'although', 'summer', 'come', 'verge', 'yet', 'getting', 'feeling', 'cooler', 'prove', 'saviour', 'extreme', 'summer', 'heat']"
,"Good for now, Will update in summer. Cooler potential can only be judged during intense summer.","Good for now, Will update in summer. Cooler potential can only be judged during intense summer.",en,good update summer cooler potential judged intense summer,"['good', 'update', 'summer', 'cooler', 'potential', 'judged', 'intense', 'summer']"
,It's actually not as expected sized cooler but after using it an Whole day tis cooler noise level is so down n is cooling the room with 5 people so good so don't go with size the quality and the power of this cooler is 4star rated in this price range ....❤️loved it #HINDWARE grate choice,It's actually not as expected sized cooler but after using it an Whole day tis cooler noise level is so down n is cooling the room with 5 people so good so don't go with size the quality and the power of this cooler is 4star rated in this price range ....❤️loved it #HINDWARE grate choice,en,actually expected sized cooler using whole day ti cooler noise level cooling room people good size quality power cooler 4star rated price range loved grate choice,"['actually', 'expected', 'sized', 'cooler', 'using', 'whole', 'day', 'ti', 'cooler', 'noise', 'level', 'cooling', 'room', 'people', 'good', 'size', 'quality', 'power', 'cooler', '4star', 'rated', 'price', 'range', 'loved', 'grate', 'choice']"
,"Bought this product on 6th May 2021. Flipkart delivered it on 10th May 2021. Product received 2 days before the scheduled delivery that too in lockdown period. Packaging was good and product came a brand new.
I was looking for a personal cooler and i must say hindware cooler does his job very nicely. Cooling is great at this size of cooler. Water tank is sufficient. All you need is to keep cooler in a room and create ventilation to enjoy best cooling experience. Look wise cooler is super cute and very easy to keep it because of its tiny size. Great product. Must recommend to buy this summer and enjoy cooling.
If it would have ice chamber too that would be an plus for this cooler but without ice chamber also it does its job very well.","Bought this product on 6th May 2021. Flipkart delivered it on 10th May 2021. Product received 2 days before the scheduled delivery that too in lockdown period. Packaging was good and product came a brand new.
I was looking for a personal cooler and i must say hindware cooler does his job very nicely. Cooling is great at this size of cooler. Water tank is sufficient. All you need is to keep cooler in a room and create ventilation to enjoy best cooling experience. Look wise cooler is super cute and very easy to keep it because of its tiny size. Great product. Must recommend to buy this summer and enjoy cooling.
If it would have ice chamber too that would be an plus for this cooler but without ice chamber also it does its job very well.",en,bought product 6th may 2021 flipkart delivered 10th may 2021 product received day scheduled delivery lockdown period packaging good product came brand new looking personal cooler must say hindware cooler job nicely cooling great size cooler water tank sufficient need keep cooler room create ventilation enjoy best cooling experience look wise cooler super cute easy keep tiny size great product must recommend buy summer enjoy cooling would ice chamber would plus cooler without ice chamber also job well,"['bought', 'product', '6th', 'may', '2021', 'flipkart', 'delivered', '10th', 'may', '2021', 'product', 'received', 'day', 'scheduled', 'delivery', 'lockdown', 'period', 'packaging', 'good', 'product', 'came', 'brand', 'new', 'looking', 'personal', 'cooler', 'must', 'say', 'hindware', 'cooler', 'job', 'nicely', 'cooling', 'great', 'size', 'cooler', 'water', 'tank', 'sufficient', 'need', 'keep', 'cooler', 'room', 'create', 'ventilation', 'enjoy', 'best', 'cooling', 'experience', 'look', 'wise', 'cooler', 'super', 'cute', 'easy', 'keep', 'tiny', 'size', 'great', 'product', 'must', 'recommend', 'buy', 'summer', 'enjoy', 'cooling', 'would', 'ice', 'chamber', 'would', 'plus', 'cooler', 'without', 'ice', 'chamber', 'also', 'job', 'well']"
3.9,Just awesome product.... Delivery on time.... It's functioning very good..... Behaviour of the delivery executive was very good....I'm very happy......Same as shown in the picture..... Everything is just awesome....I just loved it very much..... Thank you Flipkart and delivery executive for good servicing.......🥰🥰🥰🥰🥰🥰❤️❤️❤️❤️❤️❤️,Just awesome product.... Delivery on time.... It's functioning very good..... Behaviour of the delivery executive was very good....I'm very happy......Same as shown in the picture..... Everything is just awesome....I just loved it very much..... Thank you Flipkart and delivery executive for good servicing.......🥰🥰🥰🥰🥰🥰❤️❤️❤️❤️❤️❤️,en,awesome product delivery time functioning good behaviour delivery executive good happy shown picture everything awesome loved much thank flipkart delivery executive good servicing,"['awesome', 'product', 'delivery', 'time', 'functioning', 'good', 'behaviour', 'delivery', 'executive', 'good', 'happy', 'shown', 'picture', 'everything', 'awesome', 'loved', 'much', 'thank', 'flipkart', 'delivery', 'executive', 'good', 'servicing']"
,leakage in water,leakage in water,af,leakage water,"['leakage', 'water']"
,"Cooler is consist of one fan ,one submersible pump ,three side honeycomb pad,one water tank and some electrical circuits. Don't expect too much cooling , it's just a cooling fan. The cooler cools to a specific area,it will not cool the room.This much amount for these component is high.it could be in between 2500 to 3500. However, under 6000 this product is better than most of the cooler available in the market. The product I got is bent from two sides.","Cooler is consist of one fan ,one submersible pump ,three side honeycomb pad,one water tank and some electrical circuits. Don't expect too much cooling , it's just a cooling fan. The cooler cools to a specific area,it will not cool the room.This much amount for these component is high.it could be in between 2500 to 3500. However, under 6000 this product is better than most of the cooler available in the market. The product I got is bent from two sides.",en,cooler consist one fan one submersible pump three side honeycomb pad one water tank electrical circuit expect much cooling cooling fan cooler cool specific area cool room much amount component high could 2500 3500 however 6000 product better cooler available market product got bent two side,"['cooler', 'consist', 'one', 'fan', 'one', 'submersible', 'pump', 'three', 'side', 'honeycomb', 'pad', 'one', 'water', 'tank', 'electrical', 'circuit', 'expect', 'much', 'cooling', 'cooling', 'fan', 'cooler', 'cool', 'specific', 'area', 'cool', 'room', 'much', 'amount', 'component', 'high', 'could', '2500', '3500', 'however', '6000', 'product', 'better', 'cooler', 'available', 'market', 'product', 'got', 'bent', 'two', 'side']"
,"4 out of 5 Design.
4 out of 5 noise
5 out of 5 tank capacity. Sufficient capacity for two days of water.
5 out of 5 Air throw
3 out of 5 ice chamber
4 out of 5 cooling. The main reason is honeycomb pads are not enough dense.

Overall good purchase. I am satisfied.
You can go with this.","4 out of 5 Design.
4 out of 5 noise
5 out of 5 tank capacity. Sufficient capacity for two days of water.
5 out of 5 Air throw
3 out of 5 ice chamber
4 out of 5 cooling. The main reason is honeycomb pads are not enough dense.

Overall good purchase. I am satisfied.
You can go with this.",en,design noise tank capacity sufficient capacity two day water air throw ice chamber cooling main reason honeycomb pad enough dense overall good purchase satisfied,"['design', 'noise', 'tank', 'capacity', 'sufficient', 'capacity', 'two', 'day', 'water', 'air', 'throw', 'ice', 'chamber', 'cooling', 'main', 'reason', 'honeycomb', 'pad', 'enough', 'dense', 'overall', 'good', 'purchase', 'satisfied']"
