Name,Rating,Title,Text,Date
Anonymous,,Great product,After 10 days used the product is very good,
Anonymous,,Worth every penny,Good product and cooling very good.,
Anonymous,,Fabulous!,Value for money,
Anonymous,,Just wow!,I am satisfied with this cooler 😍😍.,
Anonymous,3.9,Must buy!,Excellent,
Anonymous,,Best in the market!,"I have been using it for almost 4 months now. It is super silent, no disturbance in the sleep. Although it requires regularly cleanings after 20-25 days, otherwise water starts spilling out from the pads due to dirt and clogging as it do not have dust mesh outside like some other air coolers. Good air throw and the cooling is also good.",
Anonymous,,Must buy!,Good quality,
Anonymous,,Just wow!,Awesome product with price 👌 thanks flipkart,
Anonymous,,Could be way better,Too short,
Anonymous,,Good choice,Good product,
Anonymous,,Just wow!,"Cooler is of nice quality and sufficient for 120 sqft room.
Air throw is also decent and swing works very good.",
Anonymous,,Excellent,"Nice product

Awesome looks and works fine",
Anonymous,,Highly recommended,"Well designed, Good quality material, High speed fan , and low electricity consumption. Just go for it if you have medium size room with cross ventilation.",
Anonymous,,Just wow!,Super product on this price tank capacity ok fan speed ok but hight is 10% more want this sagment,
Anonymous,3.9,Terrific purchase,Really Best product.. Good Coolingand Velue for money 🤑🤑,
Anonymous,,Delightful,"Good quality product.
Fan noise slightly more.",
Anonymous,,Value-for-money,Very good,
Anonymous,,Good choice,Super ❤️,
Anonymous,,Wonderful,Cooler is great but according to price size very small,
Anonymous,,Wonderful,Nice product,
Anonymous,,Terrific purchase,Go for it,
Anonymous,,Wonderful,Good working,
Anonymous,,Really Nice,Good,
Anonymous,,Does the job,Okey,
Anonymous,3.9,Good quality product,All right,
Anonymous,,Value-for-money,Budget Cooler,
Anonymous,,Could be way better,"Do not go with this product. I bought this Hindware 45L Personal Air Cooler 1 month ago and it's pump works sometimes and stops working suddenly. The customer service of hindware is too bad. When you raise tickets, your tickets will be cancelled automatically by them and no service will be provided.",
Anonymous,,Wonderful,I love this product thanks Flipkart ❤️,
Anonymous,,Very Good,"Product build quality absolute best!! No 2nd thought, had not expected this budget friendly air cooler to be this Best.
Noise perspective Minimum because it uses fan not the blower.
Pump works good,
Opertatng knobs works great, touch n feel is also very good.
Then comes to Air throw, We have been using speed 1 and throws air upto 10 feet easily.so think of top speed.
And finally comes to performance wise cooling the air is good not great, don't expect too much from aircoolers in this hot summer..but as middle class we expect too much in minimum budget range..
So I suggest no turn around just go for it, it's absolute beast in its own range.",
Anonymous,,Worth the money,Well packaged and delivered in good condition... Don't go by the negative reviews ...I am using it and it's worth buying .,
Anonymous,,Worth the money,Paisa wasool products,
Anonymous,,Delightful,Good,
Anonymous,,Delightful,Nice product..,
Anonymous,,Value-for-money,Good as price,
